web_url,headline,pub_date
https://www.nytimes.com/2020/03/17/books/review/that-hair-djaimilia-pereira-de-almeida.html,"For Black and Mixed-Race Women, Hair and Identity Are Tangled Together",2020-03-17T09:00:08+0000
https://www.nytimes.com/2022/10/17/health/hair-straighteners-black-women-cancer.html,"Hair Straighteners May Pose a Small Risk for Uterine Cancer, Study Finds",2022-10-17T21:41:56+0000
https://parenting.blogs.nytimes.com/2015/05/28/why-i-stopped-giving-hair-advice-to-white-moms-of-brown-kids/,Why I Stopped Giving Hair Advice to White Moms of Brown Kids,2015-05-28T12:17:31+0000
https://www.nytimes.com/2022/08/09/style/knotless-braids-hairstyle.html,The Rise of Knotless Braids,2022-08-09T19:00:13+0000
https://www.nytimes.com/2018/06/14/books/review/i-love-my-black-hair-natasha-tarpley.html,Why Do Kids’ Books About Black Hair Draw So Much Attention — and Controversy?,2018-06-14T19:00:05+0000
https://www.nytimes.com/video/us/100000008019776/police-body-camera-black-man-traffic-stop-dayton-ohio.html,Video Shows Police Pulling Man Out of Car by Hair During Traffic Stop,2021-10-11T23:38:57+0000
https://www.nytimes.com/2017/11/10/style/lupita-hair-grazia.html,Lupita Nyong’o Criticizes Magazine’s Altered Image of Her Hair,2017-11-10T19:31:02+0000
https://www.nytimes.com/2015/08/19/arts/design/tony-gleaton-67-dies-leaving-legacy-in-pictures-of-africans-in-the-americas.html,"Tony Gleaton, 67, Dies, Leaving Legacy in Pictures of Africans in the Americas ",2015-08-19T01:28:42+0000
https://www.nytimes.com/2020/02/09/movies/hair-love-oscars-animated-short.html,‘Hair Love’ Receives a Lot of Love at the Oscars for Best Animated Short Film,2020-02-10T01:38:16+0000
https://www.nytimes.com/2021/04/25/movies/ma-raineys-black-bottom-mia-neal-jamika-wilson.html,Mia Neal and Jamika Wilson are the first Black women to win for hair and makeup.,2021-04-26T01:11:18+0000
https://www.nytimes.com/2018/12/18/obituaries/galt-macdermot-dead.html,"Galt MacDermot, Composer of the Rock Musical ‘Hair,’ Dies at 89",2018-12-18T22:33:39+0000
https://www.nytimes.com/2017/04/14/arts/design/one-artists-melancholy-look-at-missing-african-american-women.html,One Artist’s Melancholy Look at Missing African-American Women,2017-04-14T20:57:10+0000
